Sentiment,Sentiment_Polarity,id,userId,appId
Positive,1,0,3,4
Positive,0.136363636,1,0,4
Negative,-0.013333333,2,14,2
Negative,-0.14,3,5,2
Negative,-0.303571429,4,2,2
Negative,-0.066666667,5,10,2
Positive,0.013636364,6,7,2
Negative,-0.572916667,7,8,2
Positive,0.243333333,8,6,2
Negative,-0.083333333,9,16,2
Positive,0.140625,10,11,2
Positive,0.154761905,11,10,2
Negative,-0.132142857,12,3,2
Positive,0.1375,13,10,2
Negative,-0.092307692,14,18,2
Negative,-0.091666667,15,11,2
Positive,0.02962963,16,7,2
Positive,0.272727273,17,0,2
Neutral,0,18,0,2
Negative,-0.089393939,19,4,2
Positive,0.1625,20,17,2
Positive,0.2,21,17,2
Negative,-0.038888889,22,18,2
Positive,0.05,23,0,2
Positive,0.140625,24,8,2
Negative,-0.260714286,25,12,2
Negative,-0.04,26,12,2
Positive,0.140126263,27,14,2
Positive,0.281,28,3,2
Negative,-0.013333333,29,6,2
Negative,-0.14,30,2,2
Negative,-0.303571429,31,0,2
Negative,-0.066666667,32,7,2
Positive,0.28125,33,10,2
Positive,0.133333333,34,6,2
Positive,0.4,35,1,2
Positive,0.154761905,36,17,2
Positive,0.013636364,37,10,2
Negative,-0.435714286,38,5,2
Negative,-0.572916667,39,17,2
Positive,0.09,40,17,2
Negative,-0.216666667,41,17,2
Neutral,0,42,7,2
Negative,-0.155871212,43,10,2
Negative,-0.132142857,44,17,2
Negative,-0.088863636,45,7,2
Positive,0.243333333,46,2,2
Negative,-0.083333333,47,4,2
Positive,0.1375,48,6,2
Positive,0.058333333,49,10,2
Negative,-0.092307692,50,11,2
Negative,-0.091666667,51,2,2
Positive,0.02962963,52,8,2
Positive,0.272727273,53,2,2
Neutral,0,54,14,2
Negative,-0.089393939,55,9,2
Positive,0.1625,56,12,2
Positive,0.2,57,11,2
Negative,-0.038888889,58,1,2
Positive,0.05,59,13,2
Negative,-0.260714286,60,11,2
Negative,-0.04,61,11,2
Positive,0.140126263,62,6,2
Positive,0.281,63,10,2
Negative,-0.013333333,64,6,2
